卫视频道,#genre#
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=0ea6470f8e997d5777816cf3f2f763d3&wsTime=1784512751
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
甘肃卫视,http://38.75.136.137:98/gslb/dsdqpub/gswshd.m3u8?auth=testpub
新疆卫视,http://38.75.136.137:98/gslb/dsdqpub/xjws.m3u8?auth=testpub
山西卫视,http://107.150.60.122/live/sxwshd.m3u8
湖南卫视,http://192.151.150.154/live/hnwshd.m3u8
东方卫视,http://192.151.150.154/live/dfwshd.m3u8
黑龙江卫视,http://107.150.60.122/live/hljwshd.m3u8
深圳卫视,http://204.12.221.218:8181/3m1080p/szws.m3u8
贵州卫视,http://107.150.60.122/live/gzwshd.m3u8
江苏卫视,http://107.150.60.122/live/jswshd.m3u8
内蒙古卫视,http://192.151.150.154/live/nmgws.m3u8
吉林卫视,http://107.150.60.122/live/jlwshd.m3u8
湖南卫视,http://107.150.60.122/live/hnwshd.m3u8
兵团卫视,http://198.204.228.26/live/btws.m3u8
东方卫视,http://107.150.60.122/live/dfwshd.m3u8
东方卫视,http://198.204.228.26/live/dfwshd.m3u8
宁夏卫视,http://198.204.228.26/live/nxws.m3u8
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
江西卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jxwshd
贵州卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gzwshd
凤凰卫视,http://218.206.193.218:8888/hls/67/index.m3u8
山西卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=sxwshd
吉林卫视,http://hlszymgsplive.miguvideo.com:8080/envivo_v/2018/SD/jilin/1000/index.m3u8?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=600633&netType=0&sid=5910022164&pid=2028597139&timestamp=20260720040222&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=947472500&ParentNodeID=-99&assertID=5910022164&client_ip=171.8.79.254&SecurityKey=20260720040222&promotionId=&mvid=5900004357&mcid=500020&playurlVersion=WX-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=61627f5d08b0a4df8a800ba9b64ba31a&sv=10004&ct=android
河南卫视,http://hlszymgsplive.miguvideo.com:8080/wd-henanwssd-600/index.m3u8?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=600633&netType=0&sid=5910021585&pid=2028597139&timestamp=20260720040222&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=790187291&ParentNodeID=-99&assertID=5910021585&client_ip=171.8.79.254&SecurityKey=20260720040222&promotionId=&mvid=5900005706&mcid=500020&playurlVersion=WX-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=c1c6011fd8d3575b3039d741a4dee15d&sv=10004&ct=android
厦门卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xmws
兵团卫视,http://183.11.239.36:808/hls/7/index.m3u8
重庆卫视,http://183.11.239.36:808/hls/53/index.m3u8
江苏卫视,http://183.11.239.36:808/hls/38/index.m3u8
新疆卫视,http://183.11.239.36:808/hls/65/index.m3u8
厦门卫视,http://183.11.239.36:808/hls/17/index.m3u8
广西卫视,http://183.11.239.36:808/hls/56/index.m3u8
海南卫视,http://183.11.239.36:808/hls/124/index.m3u8
吉林卫视,http://49.87.154.246:85/tsfile/live/0116_1.m3u8?key=txiptv
兵团卫视,http://218.13.170.98:9901/tsfile/live/0115_1.m3u8
浙江卫视,http://221.226.51.220:50081/newlive/live/hls/27/live.m3u8
西藏卫视,http://183.11.239.36:808/hls/64/index.m3u8
江西卫视,http://183.11.239.36:808/hls/44/index.m3u8
三沙卫视,http://221.226.51.220:50081/newlive/live/hls/38/live.m3u8
河南卫视,http://221.226.51.220:50081/newlive/live/hls/37/live.m3u8
